bundle	all_requests	all_uniq_ifa	segment_requests	segment_uniq_ifa	segment_ifa_share	requests_share	unique_traffic	format_ratio_f10	format_ratio_f41	mean_wincost_f10	bid_floor_f10	mean_wincost_f41	bid_floor_f41	ad_frequency_f10	ad_frequency_f41	views_app	views_ifa	ctr	categories_iab	categories_google	categories_annie	avg_rate_appstore
1038827708	129	73	2	10	0.136986	0.015504	2	0	1	0.005	0.44	0.15	5.02	91854	72857	0	0	0	"[""IAB1"",""IAB9-30"",""IAB9-7""]"	"[{""id"":""927"",""value"":""0.3""},{""id"":""1109"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""},{""id"":""105"",""value"":""0.2""}]"	"[""Music (Games)""]"	4.3
537539828	1547	713	2	57	0.079944	0.001293	2	0.33	0.67	0.005	0.44	0.15	5.02	85422	58921	0	0	0	"[""IAB1"",""IAB9-30"",""IAB9-7""]"	"[{""id"":""39"",""value"":""0.4""},{""id"":""1462"",""value"":""0.4""},{""id"":""105"",""value"":""0.2""}]"	"[""Casino (Games)""]"	3.9
466993271	32948	351	35	27	0.076923	0.001062	49	0.99	0.01	0.005	0.42	0.15	5.02	21680	31938	0	0	0	"[""IAB1"",""IAB18""]"	"[{""id"":""532"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""},{""id"":""1071"",""value"":""0.3""},{""id"":""1533"",""value"":""0.2""}]"	"[""Lifestyle"",""Overall""]"	4.8
1097820600	300	205	1	13	0.063415	0.003333	1	1	0	0.005	0.42	0.15	13.5	80786	88126	0	0	0	null	"[{""id"":""236"",""value"":""1""}]"	"[""Health and Fitness""]"	4.8
1153414076	1318	275	3	24	0.087273	0.002276	3	0.83	0.17	0.005	0.42	0.15	5.02	32287	40617	2	1	0	"[""IAB14"",""IAB19""]"	"[{""id"":""529"",""value"":""0.6""},{""id"":""978"",""value"":""0.4""}]"	"[""Social Networking""]"	3.1
1210410698	4441	986	3	107	0.108519	0.000676	3	0.83	0.17	0.005	0.42	0.15	107.6	56974	38412	28	10	0	"[""IAB14"",""IAB19""]"	"[{""id"":""529"",""value"":""0.3""},{""id"":""978"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""}]"	"[""Social Networking""]"	3.4
1093419762	32	20	1	3	0.15	0.03125	1	0.97	0.03	0.005	0.42	0.15	13.5	15671	88126	0	0	0	"[""IAB1-6"",""IAB19""]"	"[{""id"":""444"",""value"":""0.6""},{""id"":""746"",""value"":""0.4""}]"	"[""unknown""]"	3.4
1080056356	121	38	2	7	0.184211	0.016529	3	0.38	0.62	0.005	0.42	0.15	5.02	89979	69607	0	0	0	"[""IAB18"",""IAB19""]"	"[{""id"":""578"",""value"":""1""}]"	"[""Lifestyle""]"	4.6
1264620108	536	130	3	30	0.230769	0.005597	3	1	0	0.005	0.42	0.15	13.5	159566	88126	0	0	0	"[""IAB1"",""IAB9-30"",""IAB9-5""]"	[]	"[""Sports (Games)"",""Puzzle (Games)""]"	4.4
1061589467	48	36	3	1	0.027778	0.0625	1	0.23	0.77	0.005	0.44	0.15	4.98	91854	78648	0	0	0	"[""IAB18"",""IAB9-23""]"	"[{""id"":""577"",""value"":""0.5""},{""id"":""978"",""value"":""0.3""},{""id"":""439"",""value"":""0.2""}]"	"[""Photo and Video""]"	2.3
1242732901	3554	310	12	30	0.096774	0.003376	9	0.95	0.05	0.005	0.42	0.15	101.93	43756	94401	166	10	0.02	"[""IAB1-6"",""IAB9-30""]"	"[{""id"":""1033"",""value"":""0.5""},{""id"":""1021"",""value"":""0.5""}]"	"[""Family (Games)"",""Music (Games)""]"	4.2
976965798	321	129	2	40	0.310078	0.006231	2	1	0	0.005	0.42	0.15	13.5	136682	88126	1	1	0	"[""IAB1-1"",""IAB18""]"	"[{""id"":""75"",""name"":"""",""value"":""1""}]"	"[""unknown""]"	3.1
979227424	294	126	2	38	0.301587	0.006803	2	1	0	0.005	0.42	0.15	13.5	111829	88126	7	1	0	"[""IAB1-1""]"	[]	"[""unknown""]"	2.2
1050573718	37	13	3	4	0.307692	0.081081	2	0	1	0.005	0.44	0.15	5.03	91854	89887	0	0	0	"[""IAB1"",""IAB9-23""]"	"[{""id"":""532"",""name"":"""",""value"":""0.3""},{""id"":""578"",""name"":"""",""value"":""0.3""},{""id"":""1071"",""name"":"""",""value"":""0.2""},{""id"":""1533"",""name"":"""",""value"":""0.2""}]"	"[""unknown""]"	4.7
975840137	296	127	2	26	0.204724	0.006757	2	0.83	0.17	0.005	0.42	0.15	5.01	122347	29786	1	1	0	"[""IAB1"",""IAB18""]"	"[{""id"":""532"",""name"":"""",""value"":""0.3""},{""id"":""1462"",""name"":"""",""value"":""0.3""},{""id"":""394"",""name"":"""",""value"":""0.3""},{""id"":""1071"",""name"":"""",""value"":""0.2""}]"	"[""unknown""]"	3.3
1260277664	135	69	2	8	0.115942	0.014815	2	0	1	0.005	0.44	0.15	5.01	91854	22913	1	1	0	"[""IAB1"",""IAB18""]"	"[{""id"":""577"",""value"":""0.7""},{""id"":""978"",""value"":""0.3""}]"	"[""Lifestyle""]"	4.5
962190610	611	57	3	1	0.017544	0.00491	8	0.85	0.15	0.005	0.44	0.15	5.02	161064	146150	0	0	0	"[""IAB1"",""IAB9-30"",""IAB9-5""]"	"[{""id"":""1462"",""value"":""0.3""},{""id"":""937"",""value"":""0.3""},{""id"":""926"",""value"":""0.2""},{""id"":""105"",""value"":""0.3""}]"	"[""Trivia (Games)"",""Puzzle (Games)""]"	3.8
860010780	7818	924	6	258	0.279221	0.000767	7	0.74	0.26	0.005	0.42	0.15	13.5	63904	83747	9	7	0	"[""IAB17"",""IAB9-30""]"	"[{""id"":""932"",""value"":""0.3""},{""id"":""294"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""},{""id"":""1077"",""value"":""0.1""}]"	"[""Sports (Games)""]"	4.7
897169624	2673	279	7	99	0.354839	0.002619	8	0.86	0.14	0.005	0.44	0.15	13.5	95142	134395	0	0	0	"[""IAB17"",""IAB9-30""]"	"[{""id"":""932"",""value"":""0.3""},{""id"":""294"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""}]"	"[""Sports (Games)""]"	4.8
1099718747	909	337	3	51	0.151335	0.0033	2	0.78	0.22	0.005	0.42	0.15	5.01	76022	75334	0	0	0	"[""IAB18"",""IAB9-23""]"	"[{""id"":""577"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""},{""id"":""211"",""value"":""0.3""}]"	"[""Photo and Video""]"	4.7
1202841255	150	50	2	11	0.22	0.013333	2	0.53	0.47	0.005	0.42	0.15	5.01	108995	58839	0	0	0	"[""IAB1"",""IAB19""]"	"[{""id"":""578"",""value"":""1""}]"	"[""Entertainment""]"	3.7
924476912	3393	430	5	125	0.290698	0.001474	6	0.87	0.13	0.005	0.42	0.15	103.28	101259	94816	144	24	0.05	"[""IAB17"",""IAB9-30""]"	"[{""id"":""932"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""},{""id"":""105"",""value"":""0.3""}]"	"[""Sports (Games)"",""Arcade (Games)""]"	4.7
1207727058	222	35	2	5	0.142857	0.009009	5	1	0	0.005	0.42	0.15	13.5	151631	88126	0	0	0	"[""IAB5""]"	"[{""id"":""1415"",""name"":"""",""value"":""0.7""},{""id"":""373"",""name"":"""",""value"":""0.3""}]"	"[""unknown""]"	2.9
1032952756	1164	313	3	33	0.105431	0.002577	3	0	1	0.005	0.44	0.15	13.5	91854	143657	0	0	0	"[""IAB9-30"",""IAB9-5""]"	"[{""id"":""937"",""value"":""0.2""},{""id"":""41"",""value"":""0.2""},{""id"":""1462"",""value"":""0.2""},{""id"":""105"",""value"":""0.2""},{""id"":""926"",""value"":""0.2""}]"	"[""Adventure (Games)"",""Puzzle (Games)""]"	4.7
888603652	45	38	1	2	0.052632	0.022222	1	0	1	0.005	0.44	0.15	5.02	91854	15290	0	0	0	"[""IAB1"",""IAB1-6""]"	"[{""id"":""220"",""value"":""0.2""},{""id"":""1464"",""value"":""0.2""},{""id"":""1462"",""value"":""0.2""},{""id"":""211"",""value"":""0.2""}]"	"[""Music""]"	3.9
1217267627	423	130	3	19	0.146154	0.007092	2	0.87	0.13	0.005	0.42	0.15	5.01	61428	47187	0	0	0	"[""IAB1-6""]"	"[{""id"":""215"",""value"":""0.6""},{""id"":""220"",""value"":""0.4""}]"	"[""Music""]"	4.6
1180492851	892	162	3	1	0.006173	0.003363	4	1	0	0.005	0.44	0.15	13.5	121263	88126	0	0	0	"[""IAB12"",""IAB2""]"	"[{""id"":""408"",""name"":"""",""value"":""1""}]"	"[""unknown""]"	2.1
331453283	7420	989	3	85	0.085945	0.000404	5	1	0	0.005	0.42	0.15	5.02	65717	21570	0	0	0	"[""IAB19""]"	"[{""id"":""224"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""},{""id"":""1071"",""value"":""0.3""},{""id"":""794"",""value"":""0.2""}]"	"[""Utilities""]"	4.3
449575219	67	45	2	9	0.2	0.029851	1	0	1	0.005	0.44	0.15	5.02	91854	54572	0	0	0	"[""IAB1-6"",""IAB18""]"	"[{""id"":""532"",""value"":""0.5""},{""id"":""1462"",""value"":""0.5""}]"	"[""Music""]"	2.7
582904365	212	74	3	12	0.162162	0.014151	2	1	0	0.005	0.42	0.15	13.5	51215	88126	0	0	0	"[""IAB2""]"	"[{""id"":""321"",""value"":""0.3""},{""id"":""498"",""value"":""0.3""},{""id"":""1092"",""value"":""0.2""},{""id"":""1462"",""value"":""0.2""}]"	"[""Business""]"	4.1
981032667	208	57	2	6	0.105263	0.009615	3	0.2	0.8	0.005	0.44	0.15	5.01	91854	53857	0	0	0	null	"[{""id"":""224"",""value"":""0.5""},{""id"":""1109"",""value"":""0.2""},{""id"":""1071"",""value"":""0.2""}]"	"[""Productivity""]"	3.5
999500679	549	125	2	14	0.112	0.003643	2	0.99	0.01	0.005	0.42	0.15	13.5	35796	88126	0	0	0	"[""IAB19""]"	"[{""id"":""224"",""value"":""0.2""},{""id"":""1462"",""value"":""0.2""},{""id"":""1071"",""value"":""0.2""},{""id"":""1461"",""value"":""0.2""},{""id"":""745"",""value"":""0.1""}]"	"[""Utilities""]"	4.1
1149417297	202	105	1	15	0.142857	0.00495	1	0	1	0.005	0.44	0.15	5.02	91854	52706	0	0	0	"[""IAB18""]"	"[{""id"":""578"",""value"":""0.5""},{""id"":""577"",""value"":""0.2""},{""id"":""532"",""value"":""0.2""}]"	"[""Catalogs""]"	4.7
1249550557	50	18	2	1	0.055556	0.04	2	0.87	0.13	0.005	0.42	0.15	5.01	161463	182518	0	0	0	"[""IAB1"",""IAB9-30"",""IAB9-5""]"	"[{""id"":""105"",""value"":""0.4""},{""id"":""926"",""value"":""0.3""},{""id"":""211"",""value"":""0.3""}]"	"[""Puzzle (Games)""]"	4.3
1280851502	15800	1955	5	171	0.087468	0.000316	6	0.96	0.04	0.005	0.42	0.15	107.6	114077	120239	250	29	0.02	"[""IAB1"",""IAB9-30"",""IAB9-5""]"	"[{""id"":""105"",""name"":"""",""value"":""0.4""},{""id"":""926"",""name"":"""",""value"":""0.3""},{""id"":""447"",""name"":"""",""value"":""0.2""}]"	"[""Arcade (Games)"",""Puzzle (Games)"",""Games""]"	4.8
1198965902	345	219	2	41	0.187215	0.005797	2	0	1	0.005	0.44	0.15	103.33	91854	79185	2	1	0	"[""IAB1"",""IAB9-23""]"	"[{""id"":""105"",""name"":"""",""value"":""0.5""},{""id"":""1397"",""name"":"""",""value"":""0.5""}]"	"[""unknown""]"	4.9
1061859052	416	123	3	10	0.081301	0.007212	3	0.82	0.18	0.005	0.42	0.15	5.01	31985	38893	0	0	0	"[""IAB19"",""IAB9-23""]"	null	"[""unknown""]"	4.6
1221166165	212	81	2	15	0.185185	0.009434	2	0.76	0.24	0.005	0.42	0.15	5.02	112966	112351	5	1	0	"[""IAB1"",""IAB18""]"	"[{""id"":""78"",""value"":""0.4""},{""id"":""231"",""value"":""0.4""},{""id"":""211"",""value"":""0.2""}]"	"[""Entertainment""]"	4.7
1072400876	204	42	1	4	0.095238	0.004902	4	0.92	0.08	0.005	0.42	0.15	13.5	60250	35699	0	0	0	"[""IAB20""]"	"[{""id"":""268"",""value"":""0.4""},{""id"":""1462"",""value"":""0.4""},{""id"":""685"",""value"":""0.2""}]"	"[""Navigation""]"	4.3
1019420764	3	3	1	3	1.0	0.333333	1	0.79	0.21	0.005	0.44	0.15	13.5	91854	88126	0	0	0	"[""IAB1"",""IAB9-30"",""IAB9-5""]"	"[{""id"":""105"",""value"":""0.5""},{""id"":""211"",""value"":""0.5""}]"	"[""Puzzle (Games)""]"	1.5
1215670487	28	20	2	13	0.65	0.071429	1	0	1	0.005	0.44	0.15	13.5	91854	78531	0	0	0	"[""IAB9-30""]"	"[{""id"":""148"",""value"":""0.4""},{""id"":""1056"",""value"":""0.3""},{""id"":""840"",""value"":""0.3""}]"	"[""Racing (Games)"",""Simulation (Games)""]"	3.9
660175675	11615	954	5	32	0.033543	0.00043	9	0	1	0.005	0.44	0.15	13.5	91854	106023	0	0	0	"[""IAB9-30"",""IAB9-5""]"	"[{""id"":""1494"",""name"":"""",""value"":""0.3""},{""id"":""937"",""name"":"""",""value"":""0.3""},{""id"":""1462"",""name"":"""",""value"":""0.3""}]"	"[""unknown""]"	4.5
1305545723	35077	1672	11	70	0.041866	0.000314	14	0.74	0.26	0.005	0.42	0.15	106.68	119339	59415	274	23	0.01	"[""IAB1"",""IAB9-30"",""IAB9-5""]"	[]	"[""unknown""]"	4.5
378722461	2224	269	6	66	0.245353	0.002698	7	0.94	0.06	0.005	0.42	0.15	5.02	70031	20296	6	2	0	"[""IAB19"",""IAB5""]"	"[{""id"":""937"",""value"":""0.5""},{""id"":""1462"",""value"":""0.5""}]"	"[""Utilities""]"	3.4
463529257	2703	237	11	63	0.265823	0.00407	10	0.94	0.06	0.005	0.42	0.15	13.5	28689	81856	1	1	0	"[""IAB1"",""IAB9-25"",""IAB9-30""]"	"[{""id"":""926"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""},{""id"":""105"",""value"":""0.3""},{""id"":""622"",""value"":""0.2""}]"	"[""Arcade (Games)"",""Role Playing (Games)""]"	4.6
909498331	1399	315	6	33	0.104762	0.004289	4	0.9	0.1	0.005	0.42	0.15	102.0	168062	149382	19	4	0.05	"[""IAB5"",""IAB9-30""]"	"[{""id"":""539"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""},{""id"":""1174"",""value"":""0.3""}]"	"[""Word (Games)""]"	4.5
751363884	1605	502	2	78	0.155378	0.001246	2	0.78	0.22	0.005	0.42	0.15	107.6	84348	59270	50	17	0.02	"[""IAB1"",""IAB9-30""]"	"[{""id"":""539"",""value"":""0.2""},{""id"":""926"",""value"":""0.2""},{""id"":""1462"",""value"":""0.2""},{""id"":""211"",""value"":""0.2""},{""id"":""930"",""value"":""0.1""}]"	"[""Trivia (Games)""]"	4.5
